corpus,embedding_function,chunk_size,chunk_overlap,retrieve_count,iou,precision,recall
wikitexts,all-MiniLM-L6-v2,100,50,1,0.19276063005403168,0.21871545268081757,0.42824496203322354
wikitexts,all-MiniLM-L6-v2,100,50,3,0.13171262547485904,0.13788735068483898,0.6326920544702186
wikitexts,all-MiniLM-L6-v2,100,50,5,0.09671296305763538,0.09897052019238488,0.719583285264085
wikitexts,all-MiniLM-L6-v2,100,50,7,0.07589863468118398,0.07709385576839596,0.7495827747463727
wikitexts,all-MiniLM-L6-v2,100,50,9,0.06566335972953913,0.06637692566481522,0.7975373709051373
wikitexts,all-MiniLM-L6-v2,100,0,1,0.16282239071331428,0.1899049480231582,0.3730429017204919
wikitexts,all-MiniLM-L6-v2,100,0,3,0.08761407866522455,0.09175846967782197,0.5314646018830737
wikitexts,all-MiniLM-L6-v2,100,0,5,0.07038396035904275,0.07206875517608763,0.6679003983379546
wikitexts,all-MiniLM-L6-v2,100,0,7,0.05705758828024159,0.057806263360829585,0.7182432190074254
wikitexts,all-MiniLM-L6-v2,100,0,9,0.04716115115060157,0.0476183363042286,0.7606693370730342
wikitexts,all-MiniLM-L6-v2,200,100,1,0.119505731103414,0.126799039508681,0.46718170931549047
wikitexts,all-MiniLM-L6-v2,200,100,3,0.0843426311573125,0.08547611213701772,0.7062055815389459
wikitexts,all-MiniLM-L6-v2,200,100,5,0.05850288336376367,0.05901340314656673,0.7710608432629854
wikitexts,all-MiniLM-L6-v2,200,100,7,0.04627376774515013,0.04649662170624155,0.8184101238092144
wikitexts,all-MiniLM-L6-v2,200,100,9,0.03877930854636297,0.03891577986893173,0.8564568346616319
wikitexts,all-MiniLM-L6-v2,200,0,1,0.11060054337617045,0.11638624989001917,0.43059540537100677
wikitexts,all-MiniLM-L6-v2,200,0,3,0.06426501552944705,0.06514833489460403,0.6972958079840093
wikitexts,all-MiniLM-L6-v2,200,0,5,0.04512450191355461,0.04538893325419158,0.7976012175959286
wikitexts,all-MiniLM-L6-v2,200,0,7,0.034970888924851756,0.03509990799875445,0.8523763809232828
wikitexts,all-MiniLM-L6-v2,200,0,9,0.028991660880292456,0.02905524591627029,0.8954651755843499
wikitexts,all-MiniLM-L6-v2,400,200,1,0.08249872817863672,0.08349331787830758,0.5849523124839409
wikitexts,all-MiniLM-L6-v2,400,200,3,0.04661136607097663,0.046761971945822656,0.8343602031640331
wikitexts,all-MiniLM-L6-v2,400,200,5,0.03421104273814293,0.03424372475179427,0.9065754314275549
wikitexts,all-MiniLM-L6-v2,400,200,7,0.026978885809585504,0.026988278020190642,0.9292541067347402
wikitexts,all-MiniLM-L6-v2,400,200,9,0.022404031365927245,0.02241028538270056,0.9461704214005885
wikitexts,all-MiniLM-L6-v2,400,0,1,0.06370711264695184,0.06472540218868088,0.4585297546848075
wikitexts,all-MiniLM-L6-v2,400,0,3,0.033215327229227536,0.033344632112862045,0.6845912004659327
wikitexts,all-MiniLM-L6-v2,400,0,5,0.02348809281139684,0.023535729910618745,0.7715098721818009
wikitexts,all-MiniLM-L6-v2,400,0,7,0.018798141165927033,0.018819134572314454,0.8817961515881021
wikitexts,all-MiniLM-L6-v2,400,0,9,0.015827615471511007,0.015836436328544992,0.9473102196522069
wikitexts,all-MiniLM-L6-v2,600,300,1,0.05256729696546687,0.05292227883968332,0.5524209143193932
wikitexts,all-MiniLM-L6-v2,600,300,3,0.029713902999513056,0.029766692217041632,0.8014217218113677
wikitexts,all-MiniLM-L6-v2,600,300,5,0.023084785838636365,0.023100674700162416,0.9204423696349271
wikitexts,all-MiniLM-L6-v2,600,300,7,0.018799104124196973,0.018808004845940387,0.9759921350860028
wikitexts,all-MiniLM-L6-v2,600,300,9,0.015569822342492039,0.01557199275242093,0.9979973696795792
wikitexts,all-MiniLM-L6-v2,600,0,1,0.029700016002547916,0.029889036207969098,0.354090204590756
wikitexts,all-MiniLM-L6-v2,600,0,3,0.022227495984897556,0.02227970840715055,0.6620047220110047
wikitexts,all-MiniLM-L6-v2,600,0,5,0.016579044436311672,0.016591385126964706,0.8356338542619652
wikitexts,all-MiniLM-L6-v2,600,0,7,0.013218524022360028,0.013220907761661063,0.908170548523105
wikitexts,all-MiniLM-L6-v2,600,0,9,0.010983151984460588,0.010983480501021116,0.9493779463199513
wikitexts,all-MiniLM-L6-v2,800,400,1,0.03925801580250183,0.039547555733415826,0.5460834537401228
wikitexts,all-MiniLM-L6-v2,800,400,3,0.023646757922763963,0.023679555244779545,0.7980063960607153
wikitexts,all-MiniLM-L6-v2,800,400,5,0.018198962889071954,0.01820472646809158,0.890847242894622
wikitexts,all-MiniLM-L6-v2,800,400,7,0.014220351594067315,0.014223754429046585,0.9574383734989106
wikitexts,all-MiniLM-L6-v2,800,400,9,0.01203687036603481,0.012038204824007968,0.9636757123803841
wikitexts,all-MiniLM-L6-v2,800,0,1,0.02940240241769499,0.029567009032667586,0.37434847934922044
wikitexts,all-MiniLM-L6-v2,800,0,3,0.017060158950846196,0.017080736616690746,0.6549421508844019
wikitexts,all-MiniLM-L6-v2,800,0,5,0.012435386745493215,0.012438609019366382,0.8109325512791877
wikitexts,all-MiniLM-L6-v2,800,0,7,0.010304700767083261,0.01030508561279412,0.895781030111288
wikitexts,all-MiniLM-L6-v2,800,0,9,0.008074730534126372,0.008074984200609179,0.9027254745557324
wikitexts,all-MiniLM-L6-v2,1000,500,1,0.030472853301158995,0.030655869290647786,0.5212919884602185
wikitexts,all-MiniLM-L6-v2,1000,500,3,0.018925885292389685,0.0189379165298114,0.8038165461229863
wikitexts,all-MiniLM-L6-v2,1000,500,5,0.014467246858821744,0.014470543457340841,0.9188258450654766
wikitexts,all-MiniLM-L6-v2,1000,500,7,0.0118910612605711,0.011891979702025633,0.9708154319674035
wikitexts,all-MiniLM-L6-v2,1000,500,9,0.010245827063366082,0.010245962895950445,0.9901320115736174
wikitexts,all-MiniLM-L6-v2,1000,0,1,0.023502428628150933,0.023627478316442532,0.39456883034954754
wikitexts,all-MiniLM-L6-v2,1000,0,3,0.015126580773526478,0.015130584911190495,0.7324171549507263
wikitexts,all-MiniLM-L6-v2,1000,0,5,0.011200653532531711,0.011201459021166817,0.9034518269685802
wikitexts,all-MiniLM-L6-v2,1000,0,7,0.008146072323608864,0.008146501089222087,0.9173407158574691
wikitexts,all-MiniLM-L6-v2,1000,0,9,0.0063252184331423385,0.00632549713811787,0.9173407158574691
wikitexts,multi-qa-mpnet-base-dot-v1,100,50,1,0.21423205034917936,0.24396183695243667,0.47497314989563716
wikitexts,multi-qa-mpnet-base-dot-v1,100,50,3,0.14678125749862592,0.1524270146043377,0.6734853251160343
wikitexts,multi-qa-mpnet-base-dot-v1,100,50,5,0.10714044285791766,0.10937578461313843,0.7849944735127831
wikitexts,multi-qa-mpnet-base-dot-v1,100,50,7,0.08579064746297776,0.08690795809545607,0.8517125904369879
wikitexts,multi-qa-mpnet-base-dot-v1,100,50,9,0.07108156102340768,0.07173769582572158,0.8707423463809086
wikitexts,multi-qa-mpnet-base-dot-v1,100,0,1,0.1952928246384252,0.22680548466720463,0.44226256822947657
wikitexts,multi-qa-mpnet-base-dot-v1,100,0,3,0.109103565622314,0.11419402773469159,0.6372391048914436
wikitexts,multi-qa-mpnet-base-dot-v1,100,0,5,0.07939429661523434,0.08124719129489806,0.7294154062432137
wikitexts,multi-qa-mpnet-base-dot-v1,100,0,7,0.06215000216035982,0.06298556659817725,0.7658610697973454
wikitexts,multi-qa-mpnet-base-dot-v1,100,0,9,0.051968644506092114,0.05240404436563175,0.8152526935039206
wikitexts,multi-qa-mpnet-base-dot-v1,200,100,1,0.13300062113733513,0.140459767353431,0.500587456738294
wikitexts,multi-qa-mpnet-base-dot-v1,200,100,3,0.08326907014535861,0.08464729827870476,0.7264726512633296
wikitexts,multi-qa-mpnet-base-dot-v1,200,100,5,0.06087354356759806,0.06128559878846556,0.8280996152662223
wikitexts,multi-qa-mpnet-base-dot-v1,200,100,7,0.04864004049530552,0.048787557198554016,0.8490295959610263
wikitexts,multi-qa-mpnet-base-dot-v1,200,100,9,0.04126135032018008,0.04135288475714876,0.8907296856270056
wikitexts,multi-qa-mpnet-base-dot-v1,200,0,1,0.12277696211572543,0.12938835839078452,0.4566285430117717
wikitexts,multi-qa-mpnet-base-dot-v1,200,0,3,0.0697780651119713,0.0705608337516867,0.7417117028650457
wikitexts,multi-qa-mpnet-base-dot-v1,200,0,5,0.04860405947900042,0.04882606219636991,0.8316396045884749
wikitexts,multi-qa-mpnet-base-dot-v1,200,0,7,0.03789508248827342,0.03800428072178411,0.9085645999237071
wikitexts,multi-qa-mpnet-base-dot-v1,200,0,9,0.030406830638795544,0.030455290244087593,0.925967498855841
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,1,0.07145752394528387,0.07309077302692359,0.5230427541769719
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,3,0.049647700762101274,0.049848778611796846,0.8111754273520273
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,5,0.03489872754504756,0.034942007364483656,0.8632315384453775
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,7,0.027165015640606926,0.02717451450242951,0.9040563728404797
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,9,0.023419707456719133,0.02342727647459724,0.969537087540445
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,1,0.06233167277994525,0.06370523115633345,0.4782874887767464
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,3,0.03488639131825462,0.035031999153522474,0.7551039585247872
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,5,0.025955957167799637,0.026006010154731515,0.8868159157246385
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,7,0.02031539296704989,0.020328758195727728,0.9602474099362431
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,9,0.016283051354014526,0.016284147759760934,0.9777593644781146
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,1,0.04658716518650268,0.04714415030183591,0.5258713953158131
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,3,0.034264245062526094,0.0343303151449545,0.8153433489279934
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,5,0.02524005556045443,0.025264396310915496,0.9037201208490908
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,7,0.01932009279381867,0.019336294695372985,0.9369384557093748
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,9,0.016471457494609706,0.016477991225593402,0.9649844177632695
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,1,0.037219064792892796,0.03768041463929623,0.42299920976158206
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,3,0.024722103043638304,0.024767866486447368,0.7704540951431351
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,5,0.018344933401282133,0.01835271937022353,0.9167085556943041
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,7,0.013672995905613125,0.013673013633089887,0.9517241379310346
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,9,0.01102143417946019,0.01102143417946019,0.9791666666666666
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,1,0.041525150322417444,0.04189641719109259,0.5750182280277302
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,3,0.026454887055673258,0.02649814428309646,0.8617472497416243
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,5,0.01948838923589867,0.01949954282978492,0.9491289637450259
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,7,0.01533788385852167,0.015343673818249063,0.9807268740288235
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,9,0.01285815196314103,0.01285815196314103,0.9930555555555556
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,1,0.034022819856644154,0.034185641343262886,0.44626366468610823
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,3,0.019097599740942488,0.019108909155186118,0.7661989859125736
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,5,0.013709966679888237,0.01371131835478667,0.9090693983400229
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,7,0.0104434957566173,0.010443627152819693,0.9547581185135586
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,9,0.008483390421013303,0.008483390421013303,0.9930555555555556
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,1,0.034367616759420384,0.0345408349173739,0.5548835573235329
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,3,0.02140062386422386,0.021425186529301206,0.8477472033389181
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,5,0.016466628508798417,0.016471345745286425,0.9649020199093766
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,7,0.012812769750927175,0.012813092007307106,0.9973254504504505
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,9,0.010553489773210085,0.010553489773210085,1.0
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,1,0.02976576959787959,0.02990587816028291,0.49204389392101333
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,3,0.016385589210704012,0.01639379072959219,0.8188300273750766
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,5,0.011218361197680144,0.011219173041610504,0.9103962714130246
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,7,0.008415746035829225,0.00841582401132874,0.9571928223844282
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,9,0.006653288823179896,0.006653336976431812,0.971081711273317
